"morphology","valid start year","valid end year","start year","end year","same primary"
"9590/3","2001",,"2010",,"9726/3"
"9590/3","2001",,"2001",,"9727/3"
"9590/3","2001",,"2001",,"9728/3"
"9590/3","2001",,"2001",,"9729/3"
"9590/3","2001",,"2001","2009","9731/3"
"9590/3","2001",,"2001","2009","9732/3"
"9590/3","2001",,"2001",,"9733/3"
"9590/3","2001",,"2001","2009","9734/3"
"9590/3","2001",,"2010",,"9735/3"
"9590/3","2001",,"2010",,"9737/3"
"9590/3","2001",,"2010",,"9738/3"
"9590/3","2001",,"2001","2009","9740/3"
"9590/3","2001",,"2001","2009","9741/3"
"9590/3","2001",,"2001","2009","9742/3"
"9590/3","2001",,"2021",,"9749/3"
"9590/3","2001",,"2001","2009","9750/3"
"9590/3","2001",,"2001","2009","9754/3"
"9590/3","2001",,"2001","2009","9755/3"
"9590/3","2001",,"2001","2009","9756/3"
"9590/3","2001",,"2001","2009","9757/3"
"9590/3","2001",,"2001","2009","9758/3"
"9590/3","2001",,"2001",,"9760/3"
"9590/3","2001",,"2001",,"9761/3"
"9590/3","2001",,"2001",,"9762/3"
"9590/3","2001",,"2001",,"9764/3"
"9590/3","2001",,"2021",,"9766/3"
"9590/3","2001",,"2001","2009","9800/3"
"9590/3","2001",,"2001","2009","9801/3"
"9590/3","2001",,"2001","2009","9805/3"
"9590/3","2001",,"2010",,"9811/3"
"9590/3","2001",,"2010",,"9812/3"
"9590/3","2001",,"2010",,"9813/3"
"9590/3","2001",,"2010",,"9814/3"
"9590/3","2001",,"2010",,"9815/3"
"9590/3","2001",,"2010",,"9816/3"
"9590/3","2001",,"2010",,"9817/3"
"9590/3","2001",,"2010",,"9818/3"
"9590/3","2001",,"2021",,"9819/3"
"9590/3","2001",,"2001","2009","9820/3"
"9590/3","2001",,"2001",,"9823/3"
"9590/3","2001",,"2001","2009","9826/3"
"9590/3","2001",,"2001",,"9827/3"
"9590/3","2001",,"2010",,"9831/3"
"9590/3","2001",,"2001","2009","9832/3"
"9590/3","2001",,"2001","2009","9833/3"
"9590/3","2001",,"2001",,"9834/3"
"9590/3","2001",,"2001",,"9835/3"
"9590/3","2001",,"2001",,"9836/3"
"9590/3","2001",,"2001",,"9837/3"
"9590/3","2001",,"2001",,"9840/3"
"9590/3","2001",,"2001","2009","9860/3"
"9590/3","2001",,"2001","2009","9861/3"
"9590/3","2001",,"2001","2009","9863/3"
"9590/3","2001",,"2001",,"9866/3"
"9590/3","2001",,"2001",,"9867/3"
"9590/3","2001",,"2001",,"9870/3"
"9590/3","2001",,"2001",,"9871/3"
"9590/3","2001",,"2001",,"9872/3"
"9590/3","2001",,"2001",,"9873/3"
"9590/3","2001",,"2001",,"9874/3"
"9590/3","2001",,"2001","2009","9875/3"
"9590/3","2001",,"2001","2009","9876/3"
"9590/3","2001",,"2001",,"9891/3"
"9590/3","2001",,"2001",,"9895/3"
"9590/3","2001",,"2001",,"9896/3"
"9590/3","2001",,"2001",,"9897/3"
"9590/3","2001",,"2001",,"9910/3"
"9590/3","2001",,"2001",,"9930/3"
"9590/3","2001",,"2001",,"9931/3"
"9590/3","2001",,"2001","2009","9940/3"
"9590/3","2001",,"2001","2009","9945/3"
"9590/3","2001",,"2001","2009","9946/3"
"9590/3","2001",,"2001",,"9948/3"
"9980/3","2001",,"2001",,"9800/3"
"9980/3","2001",,"2001","2009","9801/3"
"9980/3","2001",,"2001","2009","9805/3"
"9980/3","2001",,"2001","2009","9840/3"
"9980/3","2001",,"2001","2009","9860/3"
"9980/3","2001",,"2001","2009","9861/3"
"9980/3","2001",,"2001","2009","9863/3"
"9980/3","2001",,"2001","2009","9866/3"
"9980/3","2001",,"2001","2009","9867/3"
"9980/3","2001",,"2001","2009","9870/3"
"9980/3","2001",,"2001","2009","9871/3"
"9980/3","2001",,"2001","2009","9872/3"
"9980/3","2001",,"2001","2009","9873/3"
"9980/3","2001",,"2001","2009","9874/3"
"9980/3","2001",,"2001","2009","9875/3"
"9980/3","2001",,"2001","2009","9876/3"
"9980/3","2001",,"2001","2009","9891/3"
"9980/3","2001",,"2001","2009","9895/3"
"9980/3","2001",,"2001","2009","9896/3"
"9980/3","2001",,"2001","2009","9897/3"
"9980/3","2001",,"2001","2009","9910/3"
"9980/3","2001",,"2001","2009","9920/3"
"9980/3","2001",,"2001","2009","9930/3"
"9980/3","2001",,"2001","2009","9931/3"
"9980/3","2001",,"2001","2009","9945/3"
"9980/3","2001",,"2001","2009","9946/3"
"9980/3","2001",,"2001","2009","9961/3"
"9980/3","2001",,"2001",,"9982/3"
"9980/3","2001",,"2001",,"9983/3"
"9980/3","2001",,"2001",,"9984/3"
"9980/3","2001",,"2001",,"9985/3"
"9980/3","2001",,"2001",,"9986/3"
"9980/3","2001",,"2001","2009","9987/3"
"9980/3","2001",,"2001",,"9989/3"
"9980/3","2001",,"2010",,"9991/3"
"9980/3","2001",,"2010",,"9992/3"
"9980/3","2001",,"2021",,"9993/3"
"9695/3","2001",,"2001",,"9590/3"
"9695/3","2001",,"2001",,"9591/3"
"9695/3","2001",,"2001","2009","9596/3"
"9695/3","2001",,"2001",,"9675/3"
"9695/3","2001",,"2001","2009","9678/3"
"9695/3","2001",,"2001","2009","9679/3"
"9695/3","2001",,"2001","2009","9680/3"
"9695/3","2001",,"2001","2009","9684/3"
"9695/3","2001",,"2001",,"9690/3"
"9695/3","2001",,"2001",,"9691/3"
"9695/3","2001",,"2001",,"9698/3"
"9695/3","2001",,"2001","2009","9805/3"
"9695/3","2001",,"2001","2009","9820/3"
"9833/3","2001",,"2001","2009","9590/3"
"9833/3","2001",,"2001","2009","9670/3"
"9833/3","2001",,"2001","2009","9671/3"
"9833/3","2001",,"2001","2009","9678/3"
"9833/3","2001",,"2001","2009","9679/3"
"9833/3","2001",,"2001","2009","9680/3"
"9833/3","2001",,"2001","2009","9684/3"
"9833/3","2001",,"2010",,"9800/3"
"9833/3","2001",,"2010",,"9801/3"
"9833/3","2001",,"2001","2009","9805/3"
"9833/3","2001",,"2001","2009","9820/3"
"9833/3","2001",,"2001","2009","9823/3"
"9833/3","2001",,"2001","2009","9832/3"
"9982/3","2001",,"2001",,"9800/3"
"9982/3","2001",,"2001","2009","9801/3"
"9982/3","2001",,"2001","2009","9805/3"
"9982/3","2001",,"2001","2009","9840/3"
"9982/3","2001",,"2001","2009","9860/3"
"9982/3","2001",,"2001","2009","9861/3"
"9982/3","2001",,"2001","2009","9863/3"
"9982/3","2001",,"2001","2009","9866/3"
"9982/3","2001",,"2001","2009","9867/3"
"9982/3","2001",,"2001","2009","9870/3"
"9982/3","2001",,"2001","2009","9871/3"
"9982/3","2001",,"2001","2009","9872/3"
"9982/3","2001",,"2001","2009","9873/3"
"9982/3","2001",,"2001","2009","9874/3"
"9982/3","2001",,"2001","2009","9875/3"
"9982/3","2001",,"2001","2009","9876/3"
"9982/3","2001",,"2001","2009","9891/3"
"9982/3","2001",,"2001","2009","9895/3"
"9982/3","2001",,"2001","2009","9896/3"
"9982/3","2001",,"2001","2009","9897/3"
"9982/3","2001",,"2001","2009","9910/3"
"9982/3","2001",,"2001","2009","9920/3"
"9982/3","2001",,"2001","2009","9930/3"
"9982/3","2001",,"2001","2009","9931/3"
"9982/3","2001",,"2001","2009","9945/3"
"9982/3","2001",,"2001","2009","9946/3"
"9982/3","2001",,"2010",,"9960/3"
"9982/3","2001",,"2001","2009","9961/3"
"9982/3","2001",,"2010",,"9975/3"
"9982/3","2001",,"2001",,"9980/3"
"9982/3","2001",,"2001",,"9983/3"
"9982/3","2001",,"2001",,"9984/3"
"9982/3","2001",,"2001",,"9985/3"
"9982/3","2001",,"2001",,"9986/3"
